,Symbol,product_name,Marketcap,sector,Industry,asset_class,close_price,risk_score,return_2019,return_2018,return_2017,return_2016,return_2015,return_2014,return_2013,return_2012,return_2011,return_2010
0,TXG,"10x Genomics, Inc.",8042693253.02,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Mid Cap,103.21,,551.15,-1.84,-42.62,65.0,2.44,30.85,-57.27,-2.22,34.73,49.11
1,YI,"111, Inc.",134211865.71,Health Care,Medical/Nursing Services,Micro Cap,7.0,93.38,,,,,,,,,,
2,PIH,"1347 Property Insurance Holdings, Inc.",34282000.0,Finance,Property-Casualty Insurers,Micro Cap,5.68,49.32,,,,,,,,,,
3,PIHPP,"1347 Property Insurance Holdings, Inc.",18697000.0,Finance,Property-Casualty Insurers,Micro Cap,26.688,20.52,,,,,,,,,,
4,TURN,180 Degree Capital Corp.,67222573.92,Finance,Finance/Investors Services,Micro Cap,2.21,23.16,22.86,-11.17,42.75,-37.27,-25.42,-1.01,-9.7,-4.62,-21.0,-4.16
5,FLWS,"1-800-FLOWERS.COM, Inc.",973377252.65,Consumer Services,Other Specialty Stores,Small Cap,14.5,39.6,18.56,14.3,0.0,46.98,-11.65,52.31,47.41,66.82,-18.22,1.51
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",52151183.838,Finance,Banks,Micro Cap,11.69,17.79,,,,,,,,,,
7,FCCY,1st Constitution Bancorp (NJ),222891954.12,Finance,Savings Institutions,Micro Cap,21.48,22.87,12.87,10.25,-1.24,46.24,24.09,-1.0,31.85,31.78,-18.46,43.81
8,SRCE,1st Source Corporation,1304262694.28,Finance,Major Banks,Small Cap,49.29,21.01,31.62,-16.9,12.47,47.9,-8.0,10.02,48.51,-10.23,28.98,30.28
9,VNET,"21Vianet Group, Inc.",801229842.0,Technology,"Computer Software: Programming, Data Processing",Small Cap,9.75,51.99,,,,,,,,,,
10,TWOU,"2U, Inc.",1449812441.68,Technology,Computer Software: Prepackaged Software,Small Cap,18.84,117.78,,,,,,,,,,
11,QFIN,"360 Finance, Inc.",677823345.0,Finance,Finance: Consumer Services,Small Cap,9.08,72.74,,,,,,,,,,
12,KRKR,36Kr Holdings Inc.,10941744.0,Miscellaneous,Business Services,Micro Cap,7.399,,,,,,,,,,,
13,JOBS,"51job, Inc.",3576281486.77,Technology,Diversified Commercial Services,Mid Cap,77.92,40.35,35.97,2.61,80.03,14.73,-17.82,-7.96,66.63,11.47,-14.84,177.0
14,ETNB,"89bio, Inc.",344451826.29,Health Care,Major Pharmaceuticals,Small Cap,27.18,,,,,,,,,,,
15,JFK,8i Enterprises Acquisition Corp,75335647.0,Finance,Business Services,Micro Cap,10.13,,,,,,,,,,,
17,JFKKU,8i Enterprises Acquisition Corp,53600000.0,Finance,Business Services,Micro Cap,10.84,,,,,,,,,,,
18,JFKKW,8i Enterprises Acquisition Corp,2127500.0,Finance,Business Services,Micro Cap,0.3984,,,,,,,,,,,
19,EGHT,8x8 Inc,2068662823.68,Technology,EDP Services,Mid Cap,19.49,32.98,1.44,27.94,-1.4,24.89,25.0,-9.75,37.53,132.81,33.19,58.67
20,JFU,9F Inc.,96209000.0,Finance,Finance: Consumer Services,Micro Cap,10.11,,,,,,,,,,,
21,AAON,"AAON, Inc.",2754920083.28,Capital Goods,Industrial Machinery/Components,Mid Cap,53.4,29.67,41.88,-3.59,11.84,43.47,4.65,5.98,131.12,3.66,10.2,46.91
22,ABEO,Abeona Therapeutics Inc.,212184843.6,Health Care,Major Pharmaceuticals,Micro Cap,2.38,119.1,-54.2,-54.95,226.8,44.35,-2.61,-72.4,4.17,-83.33,-41.94,-24.62
23,ABMD,"ABIOMED, Inc.",8185717978.24,Health Care,Medical/Dental Instruments,Mid Cap,181.45,54.89,-47.52,73.44,66.32,24.81,137.2,42.33,98.96,-27.23,92.2,10.08
24,AXAS,Abraxas Petroleum Corporation,54713044.0107,Energy,Oil & Gas Production,Micro Cap,0.28,83.94,-67.89,-55.69,-4.28,142.45,-63.95,-9.82,48.86,-33.64,-27.79,138.02
25,ACIU,AC Immune SA,659291918.0,Health Care,Major Pharmaceuticals,Small Cap,8.71,120.37,,,,,,,,,,
26,ACIA,"Acacia Communications, Inc.",2833482645.22,Technology,Semiconductors,Mid Cap,68.73,42.07,,,,,,,,,,
27,ACTG,Acacia Research Corporation,139450954.85,Miscellaneous,Multi-Sector Companies,Micro Cap,2.53,33.83,-10.74,-26.42,-37.69,51.52,-73.31,20.12,-42.27,-29.72,40.75,184.74
28,ACHC,"Acadia Healthcare Company, Inc.",2965309772.76,Health Care,Medical Specialities,Mid Cap,32.3,32.37,29.21,-21.21,-1.42,-47.01,2.04,29.33,102.7,134.2,49.25,47.79
29,ACAD,ACADIA Pharmaceuticals Inc.,6689325814.66,Health Care,Major Pharmaceuticals,Mid Cap,40.43,70.97,164.56,-46.3,4.4,-19.1,12.28,27.05,437.42,330.56,-10.0,-9.09
30,ACAM,Acamar Partners Acquisition Corp.,383494386.08,Finance,Business Services,Small Cap,10.07,,,,,,,,,,,
33,ACST,"Acasti Pharma, Inc.",69314475.363,Health Care,Major Pharmaceuticals,Micro Cap,0.64,136.93,,,,,,,,,,
34,AXDX,"Accelerate Diagnostics, Inc.",945357808.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Small Cap,16.36,47.16,46.96,-56.11,26.27,-3.44,11.99,57.3,202.73,233.06,22.22,17.86
35,XLRN,Acceleron Pharma Inc.,2980013936.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,52.87,42.36,,,,,,,,,,
36,ARAY,Accuray Incorporated,292000724.08,Health Care,Medical/Dental Instruments,Micro Cap,3.77,48.08,-17.3,-20.7,-6.52,-31.85,-10.6,-13.22,35.3,52.01,-37.33,20.32
37,ACRX,"AcelRx Pharmaceuticals, Inc.",151188701.9,Health Care,Major Pharmaceuticals,Micro Cap,1.73,62.33,,,,,,,,,,
38,ACER,Acer Therapeutics Inc.,43712112.08,Health Care,Major Pharmaceuticals,Micro Cap,4.04,167.94,-80.07,45.27,44.52,-66.79,-51.91,-60.44,59.65,-69.35,-36.73,-22.63
39,ACHV,"Achieve Life Sciences, Inc. ",15967509.2376,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Micro Cap,0.56,119.91,-56.2,-90.97,-75.64,-58.68,-47.16,-72.54,-36.43,11.75,-30.08,-24.64
40,ACHN,"Achillion Pharmaceuticals, Inc.",867167294.93,Health Care,Major Pharmaceuticals,Small Cap,6.76,76.2,279.25,-44.79,-30.27,-61.72,-11.92,268.98,-58.55,5.12,83.61,33.44
41,ACIW,"ACI Worldwide, Inc.",4311829458.5,Technology,Computer Software: Prepackaged Software,Mid Cap,35.39,27.69,36.94,22.06,24.9,-15.19,6.1,-6.91,48.78,52.55,6.59,56.68
42,ACRS,"Aclaris Therapeutics, Inc.",76154714.88,Health Care,Major Pharmaceuticals,Micro Cap,1.47,124.76,,,,,,,,,,
43,ACMR,"ACM Research, Inc.",656711215.83,Technology,Industrial Machinery/Components,Small Cap,37.57,76.65,,,,,,,,,,
44,ACNB,ACNB Corporation,248387064.29,Finance,Major Banks,Micro Cap,33.25,23.68,-0.98,36.48,-2.72,51.32,1.84,25.31,16.66,23.09,-7.12,27.89
45,ACOR,"Acorda Therapeutics, Inc.",99422509.86,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,2.18,119.34,-86.91,-27.37,14.1,-56.05,4.67,39.97,17.46,4.28,-12.55,8.17
46,ACTT,Act II Global Acquisition Corp.,380625000.0,Finance,Business Services,Small Cap,10.14,,,,,,,,,,,
48,ACTTW,Act II Global Acquisition Corp.,25012500.0,Finance,Business Services,Micro Cap,1.35,,,,,,,,,,,
49,ATVI,"Activision Blizzard, Inc",47048246686.8,Technology,Computer Software: Prepackaged Software,Large Cap,58.32,33.48,28.62,-26.07,76.43,-5.96,94.08,14.1,70.1,-12.55,0.54,13.5
50,ADMS,"Adamas Pharmaceuticals, Inc.",163803428.88,Health Care,Major Pharmaceuticals,Micro Cap,5.27,96.99,,,,,,,,,,
51,ADMP,Adamis Pharmaceuticals Corporation,48240782.3043,Health Care,Major Pharmaceuticals,Micro Cap,0.68,109.77,-68.89,-48.86,39.68,-41.67,-12.48,-3.44,-47.06,317.65,-22.73,-31.25
52,AHCO,AdaptHealth Corp. ,833438697.15,Health Care,Medical/Nursing Services,Small Cap,12.76,,,,,,,,,,,
53,ADAP,Adaptimmune Therapeutics plc,375360927.56,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,3.68,141.7,,,,,,,,,,
54,ADPT,Adaptive Biotechnologies Corporation,3507604826.18,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,30.46,,,,,,,,,,,
55,ADUS,Addus HomeCare Corporation,1515471924.0,Health Care,Medical/Nursing Services,Small Cap,96.61,29.06,43.22,95.06,-0.71,50.56,-4.08,8.11,213.99,100.28,-12.93,-55.43
