,model_id,percent,product_id
1,1,8,HYRE
2,1,5,RETO
3,1,6,SHV
4,1,8,INTG
5,1,8,TCRR
6,1,7,AGFS
7,1,7,MJCO
8,1,10,EWJV
9,1,9,TLSA
10,1,6,CREX
11,1,8,THCB
12,1,18,HBAN
13,2,8,HTHT
14,2,6,HAYN
15,2,10,SHBI
16,2,8,KOD
17,2,5,TTMI
18,2,5,CPRT
19,2,10,SEEL
20,2,6,PRPH
21,2,8,FMAO
22,2,9,LBAI
23,2,7,SAIA
24,2,18,ZION
25,3,9,WEN
26,3,5,DTYS
27,3,5,CARO
28,3,6,CSQ
29,3,7,BSJM
30,3,7,CTBI
31,3,9,WTER
32,3,10,PRPL
33,3,5,IRDM
34,3,8,PLMR
35,3,5,ARDX
36,3,24,PRNB
37,4,5,TIPT
38,4,10,FSLR
39,4,5,GRBK
40,4,5,ZM
41,4,6,MTBCP
42,4,8,SEIC
43,4,9,KVHI
44,4,10,CBMB
45,4,10,CFFN
46,4,6,LJPC
47,4,9,WIRE
48,4,17,GRIN
49,5,6,WWD
50,5,7,TPIC
51,5,8,VECO
52,5,7,NYMX
53,5,8,MSBI
54,5,5,CUBA
55,5,9,ACAD
56,5,5,MRNA
57,5,7,APYX
58,5,10,SOHU
59,5,7,FTXH
60,5,21,RGCO
61,6,8,PRVB
62,6,10,ESTA
63,6,7,CHSCL
64,6,9,RNST
65,6,7,BNTX
66,6,9,EPZM
67,6,5,SOHO
68,6,7,AMSC
69,6,10,CNAT
70,6,5,TRVG
71,6,9,SMMF
72,6,14,NXGN
73,7,5,HEBT
74,7,7,SMSI
75,7,8,INNT
76,7,6,PSTI
77,7,8,ESBK
78,7,5,CXDC
79,7,9,SLGN
80,7,5,DVY
81,7,5,MBUU
82,7,10,CDMOP
83,7,6,MRIC
84,7,26,UEIC
85,8,6,VEON
86,8,7,OPTT
87,8,8,VMD
88,8,9,BSMN
89,8,7,ACHV
90,8,8,NAVI
91,8,6,CATY
92,8,7,NLNK
93,8,8,HFWA
94,8,8,PSCT
95,8,9,SCON
96,8,17,MTC
97,9,7,VBIV
98,9,7,SGLB
99,9,9,PRVB
100,9,8,GNMA
101,9,10,HWKN
102,9,8,CVBF
103,9,6,TORC
104,9,10,AMBC
105,9,5,RAND
106,9,6,EDNT
107,9,5,BFC
108,9,19,JAZZ
109,10,7,FUSB
110,10,6,MOBL
111,10,6,ACHV
112,10,7,XEL
113,10,5,CNST
114,10,10,EGOV
115,10,10,TLRY
116,10,8,SBUX
117,10,8,JFU
118,10,7,CPAH
119,10,10,REPL
120,10,16,IEA
121,11,8,FORR
122,11,10,TROW
123,11,5,NSSC
124,11,9,TLGT
125,11,6,WTFCM
126,11,6,IVAC
127,11,10,IMV
128,11,8,DUSA
129,11,10,ARWR
130,11,5,BCOW
131,11,9,RECN
132,11,14,FNJN
133,12,10,ZVO
134,12,5,ANIK
135,12,6,MGNX
136,12,7,RAND
